metric,value,bestValue,repo
duplicated_lines_density,22.4,False,ASAM
reliability_rating,5.0,False,ASAM
reliability_remediation_effort,166,False,ASAM
security_rating,1.0,True,ASAM
security_remediation_effort,0,True,ASAM
sqale_index,3722,False,ASAM
sqale_rating,1.0,True,ASAM
duplicated_lines_density,10.0,False,AdOpT-NET0
reliability_rating,3.0,False,AdOpT-NET0
reliability_remediation_effort,27,False,AdOpT-NET0
security_rating,5.0,False,AdOpT-NET0
security_remediation_effort,60,False,AdOpT-NET0
sqale_index,3460,False,AdOpT-NET0
sqale_rating,1.0,True,AdOpT-NET0
duplicated_lines_density,10.3,False,Antares_Simulator
reliability_rating,5.0,False,Antares_Simulator
reliability_remediation_effort,2522,False,Antares_Simulator
security_rating,5.0,False,Antares_Simulator
security_remediation_effort,240,False,Antares_Simulator
sqale_index,136725,False,Antares_Simulator
sqale_rating,1.0,True,Antares_Simulator
duplicated_lines_density,0.0,True,Balmorel
reliability_rating,5.0,False,Balmorel
reliability_remediation_effort,837,False,Balmorel
security_rating,1.0,True,Balmorel
security_remediation_effort,0,True,Balmorel
sqale_index,636,False,Balmorel
sqale_rating,1.0,True,Balmorel
duplicated_lines_density,1.4,False,BeWhere-model
reliability_rating,1.0,True,BeWhere-model
reliability_remediation_effort,0,True,BeWhere-model
security_rating,1.0,True,BeWhere-model
security_remediation_effort,0,True,BeWhere-model
sqale_index,467,False,BeWhere-model
sqale_rating,1.0,True,BeWhere-model
duplicated_lines_density,18.5,False,BlueSky
reliability_rating,5.0,False,BlueSky
reliability_remediation_effort,236,False,BlueSky
security_rating,1.0,True,BlueSky
security_remediation_effort,0,True,BlueSky
sqale_index,5506,False,BlueSky
sqale_rating,1.0,True,BlueSky
duplicated_lines_density,50.4,False,CAPOW_PY36
reliability_rating,5.0,False,CAPOW_PY36
reliability_remediation_effort,650,False,CAPOW_PY36
security_rating,1.0,True,CAPOW_PY36
security_remediation_effort,0,True,CAPOW_PY36
sqale_index,36442,False,CAPOW_PY36
sqale_rating,1.0,True,CAPOW_PY36
duplicated_lines_density,35.6,False,CIMApplication
reliability_rating,5.0,False,CIMApplication
reliability_remediation_effort,277,False,CIMApplication
security_rating,1.0,True,CIMApplication
security_remediation_effort,0,True,CIMApplication
sqale_index,26326,False,CIMApplication
sqale_rating,1.0,True,CIMApplication
duplicated_lines_density,17.6,False,CORAL
reliability_rating,1.0,True,CORAL
reliability_remediation_effort,0,True,CORAL
security_rating,1.0,True,CORAL
security_remediation_effort,0,True,CORAL
sqale_index,768,False,CORAL
sqale_rating,1.0,True,CORAL
duplicated_lines_density,0.0,True,DiGriPy
reliability_rating,5.0,False,DiGriPy
reliability_remediation_effort,35,False,DiGriPy
security_rating,1.0,True,DiGriPy
security_remediation_effort,0,True,DiGriPy
sqale_index,53,False,DiGriPy
sqale_rating,1.0,True,DiGriPy
duplicated_lines_density,2.2,False,Dispa-SET
reliability_rating,5.0,False,Dispa-SET
reliability_remediation_effort,105,False,Dispa-SET
security_rating,1.0,True,Dispa-SET
security_remediation_effort,0,True,Dispa-SET
sqale_index,5281,False,Dispa-SET
sqale_rating,1.0,True,Dispa-SET
duplicated_lines_density,0.0,True,EMMA
reliability_rating,3.0,False,EMMA
