id,html_url,pypi_package_url,pypi_package_name,anaconda_package_url,juliahub_package_url,other_source,force_overwrite
amiris,https://gitlab.com/dlr-ve/esy/amiris/amiris,https://pypi.org/project/amirispy,amirispy,,,,False
aristopy,https://git.tu-berlin.de/etus/public/aristopy,https://pypi.org/project/aristopy,aristopy,,,,False
balmorel,https://github.com/balmorelcommunity/Balmorel,https://pypi.org/project/pybalmorel,pybalmorel,,,,False
chronix2grid,https://github.com/Grid2op/chronix2grid,https://pypi.org/project/Chronix2Grid,Chronix2Grid,,,,False
dieter_py,https://gitlab.com/diw-evu/dieter_public/dieterpy,https://pypi.org/project/dieterpy,dieterpy,,,,False
dynawo,https://github.com/dynawo/dynawo,https://pypi.org/project/dynawo,dynawo,,,,False
emerge,https://github.com/NatLabRockies/EMeRGE,https://pypi.org/project/NREL-emerge,NREL-emerge,,,,False
energyscope,https://github.com/energyscope/EnergyScope,https://pypi.org/project/energyscope,energyscope,,,,False
enflow,https://github.com/rebase-energy/emflow,https://pypi.org/project/emflow,emflow,,,,False
grimsel_flex,https://github.com/arthurrinaldi/grimsel,https://pypi.org/project/Grimsel,grimsel,,,,False
hopp,https://github.com/NatLabRockies/HOPP,https://pypi.org/project/hopp,hopp,,,,False
hybridbosse,https://github.com/NatLabRockies/HybridBOSSE,https://pypi.org/project/hybridbosse,hybridbosse,,,,False
iesopt_jl,https://github.com/ait-energy/IESopt.jl,https://pypi.org/project/iesopt,iesopt,,,,False
macroenergy_jl,https://github.com/macroenergy/MacroEnergy.jl,https://pypi.org/project/macroenergy,macroenergy,,,,False
matpower,https://github.com/MATPOWER/matpower,https://pypi.org/project/matpower,matpower,,,,False
muse_os,https://github.com/EnergySystemsModellingLab/MUSE_OS,https://pypi.org/project/MUSE-OS,MUSE-OS,,,,False
nemo,https://github.com/bje-/NEMO,https://pypi.org/project/nemopt,nemopt,,,,False
oemof_thermal,https://github.com/oemof/oemof-thermal,https://pypi.org/project/oemof.thermal,oemof.thermal,,,,False
omegalpes,https://gricad-gitlab.univ-grenoble-alpes.fr/omegalpes/omegalpes,https://pypi.org/project/omegalpes,omegalpes,,,,False
opensduc,https://github.com/IIT-EnergySystemModels/openSDUC,https://pypi.org/project/openSDUC,opensduc,,,,False
opentepes,https://github.com/IIT-EnergySystemModels/openTEPES,https://pypi.org/project/openTEPES,opentepes,,,,False
powersimulations_jl,https://github.com/Sienna-Platform/PowerSimulations.jl,,,,https://juliahub.com/ui/Packages/General/PowerSimulations,,False
powersimulationsdynamics_jl,https://github.com/Sienna-Platform/PowerSimulationsDynamics.jl,,,,https://juliahub.com/ui/Packages/General/PowerSimulationsDynamics,,False
psst,https://github.com/ames-market/psst,https://pypi.org/project/psst,psst,,,,False
pycity_scheduling,https://git.rwth-aachen.de/acs/public/simulation/pycity_scheduling,https://pypi.org/project/pycity-scheduling,pycity-scheduling,,,,False
pyetm,https://github.com/quintel/pyetm,https://pypi.org/project/pyetm,pyetm,,,,False
pymarket,https://github.com/kiedanski/pymarket,https://pypi.org/project/pymarket,pymarket,,,,False
remix,https://gitlab.com/dlr-ve/esy/remix/framework,https://pypi.org/project/remix.framework,remix.framework,,,,False
rheia,https://github.com/rheia-framework/RHEIA,https://pypi.org/project/rheia-meca2675,rheia-meca2675,,,,True
roseau_load_flow,https://github.com/RoseauTechnologies/Roseau_Load_Flow,https://pypi.org/project/roseau-load-flow,roseau-load-flow,,,,True
pysam,https://github.com/NatLabRockies/pysam,https://pypi.org/project/NREL-PySAM,NREL-PySAM,,,,False
steps,https://github.com/changgang/steps,https://pypi.org/project/stepspy,stepspy,,,,False
switch,https://github.com/switch-model/switch,https://pypi.org/project/switch-model,switch-model,,,,False
