id,rtd,pages,wiki
akkudoktoreos,http://Akkudoktor-EOS.readthedocs.io,,
amiris,,,https://gitlab.com/dlr-ve/esy/amiris/amiris.wiki.git
andes,http://andes.readthedocs.io,,
antares_simulator,http://Antares-Simulator.readthedocs.io,,
anymod_jl,,http://leonardgoeke.github.io/AnyMOD.jl/stable,
aristopy,http://aristopy.readthedocs.io,,https://git.tu-berlin.de/etus/public/aristopy.wiki.git
assume,http://assume.readthedocs.io,,
bewhere_model,,,
bluesky,,,
calliope,http://calliope.readthedocs.io,,
cimapplication,,http://derrickoswald.github.io/CIMApplication,
coral,,,
dieter_py,,,https://gitlab.com/diw-evu/dieter_public/dieterpy.wiki.git
dispa_set,http://Dispa-SET.readthedocs.io,,
dispatches,http://dispatches.readthedocs.io,,
distaix,,,
draf,,,
electricgrid_jl,,http://upb-lea.github.io/ElectricGrid.jl,
emerge,,http://NatLabRockies.github.io/EMeRGE,
emlab_generation,,,
energy_policy_simulator,,,
energy_py,,http://ADGEfficiency.github.io/energy-py,
energyscope,http://EnergyScope.readthedocs.io,,
energysim,http://energysim.readthedocs.io,,
erad,,http://NLR-Distribution-Suite.github.io/erad,
erf,http://ERF.readthedocs.io,,
ficus,http://ficus.readthedocs.io,,
fine,,,
flexplan_jl,,http://Electa-Git.github.io/FlexPlan.jl,
friendlysam,,,
genx_jl,,http://GenXProject.github.io/GenX.jl,
gridfm,,http://gridfm.github.io/gridfm-graphkit,
gridpack,http://GridPACK.readthedocs.io,,
grimsel_flex,,,
highres_europe,,,
hopp,http://HOPP.readthedocs.io,http://NatLabRockies.github.io/HOPP,
hybrid,,,
hydrogenmod_jl,,http://LukasBarner.github.io/HydrOGEnMod.jl,
idea,,,https://gitlab.com/sesit/idea.wiki.git
iesopt_jl,,http://ait-energy.github.io/IESopt.jl,
inertia,,http://G-PST.github.io/inertia,
interactive_power_flow_(ipf),,,
irena_flextool,,http://irena-flextool.github.io/flextool,
joulia_jl,,,
jpong,,,
lego,,,
mafrit,,,
match_model,,,
mesmo,,http://mesmo-dev.github.io/mesmo,
messpy,,,
microgrids_py,,,
minpower,http://minpower.readthedocs.io,http://adamgreenhall.github.io/minpower,
most,,,
muse_os,http://MUSE-OS.readthedocs.io,,
oemof_solph,http://oemof-solph.readthedocs.io,,
omegalpes,http://omegalpes.readthedocs.io,,
onsset,http://onsset.readthedocs.io,,
open,,,
open_energy_cell_simulation,,,
opencem,,,
openipsl,http://OpenIPSL.readthedocs.io,,
openmaster,,,
opensduc,http://openSDUC.readthedocs.io,,
optihood,http://optihood.readthedocs.io,,
paraemt_public,,,
pomato,http://pomato.readthedocs.io,,
power_grid_model,http://power-grid-model.readthedocs.io,,
powerdynamics_jl,,http://JuliaEnergy.github.io/PowerDynamics.jl,
powermodelsannex_jl,,,
powersystemsinvestments_jl,,,
psatools_python,,,
pycity_scheduling,,,https://git.rwth-aachen.de/acs/public/simulation/pycity_scheduling.wiki.git
pyetm,,http://quintel.github.io/pyetm,
pylesa,,,
pymicrogridcontrol,,,
pypower,,http://rwl.github.io/PYPOWER,
pypower_dynamics,,http://susantoj.github.io/PYPOWER-Dynamics,
pysam,,,
reise_jl,,,
remix,,,https://gitlab.com/dlr-ve/esy/remix/framework.wiki.git
reopt_lite_api,,,
resolve,,,
revub,,,
rivus,http://rivus.readthedocs.io,,
roseau_load_flow,http://Roseau-Load-Flow.readthedocs.io,,
sddpdso_jl,,http://psrenergy.github.io/SDDPDSO.jl,
silver,http://sesit-silver.readthedocs.io,,https://gitlab.com/sesit/silver.wiki.git
simona,http://simona.readthedocs.io,,
softx_2020_61,,,
spineopt_jl,,http://spine-tools.github.io/SpineOpt.jl,
ssmd,,,https://git.rwth-aachen.de/acs/public/simulation/ssmd.wiki.git
temoa,http://temoa.readthedocs.io,,
times_model,,,
transactive_energy_service_system,,,
tulipaenergymodel_jl,,http://TulipaEnergy.github.io/TulipaEnergyModel.jl,
villasframework,,,
zen_garden,http://ZEN-garden.readthedocs.io,,
