,description
spine-tools,Open source modelling tools
TulipaEnergy,Energy System Optimization Tools from TNO and eScience
ansuiuc,
ucsusa, Science for a healthy planet and safer world.
OSeMOSYS,Open-source Energy Modelling System
DeltaE,ΔE+ (Delta-E-plus) explores the synergies and trade-offs at the nexus of energy+ to support effective policy development.
pvlib,
AssessingSolar,
PV-Tutorials,Tutorial materials for open-source python packages for simulating and analyzing photovoltaic power systems
gisce,IT for Energy utilities
pygrn,Som Gironins apassionats pel llenguatge de programació Python! 🐍🐍🐍
podlinker,Podcast Social Network
openmod-initiative,
FRESNA,Repository of FRESNA (FIAS Renewable Energy Systems & Network Analysis)
PyPSA,Python for Power System Analysis
openlectures,Free online education for anyone who wants to learn
uteepi,
icdronesoc,Building London's leading hotspot for drone enthusiasts
gdp-drone,
freeCodeCamp,Learn to code for free with millions of other people around the world
ReeemProject,Role of technologies in an energy efficient economy – model based analysis policy measures and transformation pathways to a sustainable energy system
avtools-io,The Media Workflow Toolbox
amidev-org,Alexis Michaltsis Sofware Development
R-Techy-work,
DATA-STRUCTURES-ALGORITHMS-TEST-GROUND,
ANDROID-TECHY-GROUNDS,
powsybl,Power System Blocks
javelinadevelopers,
GenieFramework,Highly productive web development with Julia
M-68,M-68 aims to encourage independent student research by collaboration with organizations and people in academia globally.
OREL-group,"A distributed collaborative-based open science lab with interests in computational science, biology & neuroscience, and cognition."
opfab,"OperatorFabric is a modular, extensible, industrial-strength and field-tested platform for use in electricity, water, and other utility operations."
jupyter4edu,Jupyter for Education focuses on best practices and content for teaching with Jupyter notebooks.
OpenModelica,
geeckode,open source community
Computer-Engineering-UniPA,
opusonesolutions,
PIK-ICoNe,"Dynamics, stability and resilience of complex hybrid infrastructure networks"
CIRED,Repository for the models developed in CIRED
OneDAS-Group,
nexus-main,
COPSI-Teaching,
nuaajc-lab107,
Redstone-Tech-Reupload-Group,红石科技搬运组字幕、工具、数据集等。
MaREI-EPMG,
JuliaAtmosOceanHydro,
JuliaClimate,
AtomicApps,
brightway-lca,Open source framework for Brightway framework
cigroup-ol,
lfenergyarchitecturemodel,
Nault,A secure web based wallet for Nano currency
elua,
greenant,A melhor energia é a que você não gasta!
ii,inclusively integrating the world
kubernetes,Production-Grade Container Scheduling and Management
knative,"Kubernetes-based platform to build, deploy, and manage modern serverless workloads"
kubernetes-sigs,Org for Kubernetes SIG-related work
Safe-Surfer,"Protect the mental health of our young people through technology, education, and advocacy"
knative-extensions,Extensions and plugins that extend the Knative project.
FlatTrackio,Collaborate with your flatmates
humacs,
sharingio,A shareable pairing environment
apisnoop,
thisisnottheorganisationyourelookingfor,"you are not looking for it
"
WiserUFBA,"WISER: Web, Internet and Intelligent Systems Research Group"
GitHawkApp,
sourcecred,
