num_downloads,month,project
62,2026-05-01,dynawo
441,2026-05-01,edisgo
1833,2026-05-01,switch-model
283,2026-05-01,rheia-meca2675
364,2026-05-01,friendlysam
13187,2026-05-01,tz-osemosys
101,2026-05-01,macroenergy
526,2026-05-01,energyscope
752,2026-05-01,hybridbosse
903,2026-05-01,nempy
2911,2026-05-01,pybalmorel
287,2026-05-01,osier
510,2026-05-01,powergama
1052,2026-05-01,stepspy
193,2026-05-01,psst
3452,2026-05-01,gridpath
3040,2026-05-01,opender
1613,2026-05-01,message-ix
207,2026-05-01,onsset
3145,2026-05-01,grid2op
156,2026-05-01,pymarket
2515,2026-05-01,muse-os
2818,2026-05-01,flixopt
6229,2026-05-01,andes
1215,2026-05-01,grimsel
39463,2026-05-01,pypsa
5337,2026-05-01,zen-garden
17433,2026-05-01,pypower
262,2026-05-01,heron-ravenframework
8469,2026-05-01,pypowsybl
372,2026-05-01,villas-node
501,2026-05-01,aristopy
276,2026-05-01,ego
1956,2026-05-01,chronix2grid
524,2026-05-01,h2integrate
132197,2026-05-01,power-grid-model
801,2026-05-01,fine
404,2026-05-01,gridfm-graphkit
2353,2026-05-01,multi-vector-simulator
1369,2026-05-01,opentepes
1339,2026-05-01,matpower
316,2026-05-01,emflow
99,2026-05-01,pypownet
414,2026-05-01,dispatches
672,2026-05-01,dpsim
55617,2026-05-01,nrel-pysam
270,2026-05-01,mescal
1637,2026-05-01,iesopt
1202,2026-05-01,tesp-support
211,2026-05-01,microgrids
447,2026-05-01,pycity-scheduling
201,2026-05-01,opensduc
483,2026-05-01,fluxopt
1756,2026-05-01,gridx-egret
529,2026-05-01,sustaingym
368,2026-05-01,omegalpes
1127,2026-05-01,pyetm
797,2026-05-01,minpower
1990,2026-05-01,mosaik
3598,2026-05-01,esa
204,2026-05-01,pypower-dynamics
320,2026-05-01,dieterpy
148,2026-05-01,pownet
340,2026-05-01,deflex
1488,2026-05-01,reho
528,2026-05-01,temoa
261,2026-05-01,nrel-emerge
1422,2026-05-01,hopp
538,2026-05-01,roseau-load-flow
198,2026-05-01,pymfm
1100,2026-05-01,calliope
569,2026-05-01,nemopt
9811,2026-05-01,veragridengine
103,2026-05-01,python-microgrid
1595,2026-05-01,assume-framework
1329,2026-05-01,nrel-erad
1586,2026-05-01,amirispy
108553,2026-05-01,pandapower
628,2026-05-01,energysim
542,2026-05-01,pyehub
154,2026-05-01,digripy
196,2026-04-01,nrel-emerge
2980,2026-04-01,temoa
1407,2026-04-01,stepspy
4576,2026-04-01,veragridengine
658,2026-04-01,nemopt
1395,2026-04-01,muse-os
72773,2026-04-01,nrel-pysam
302,2026-04-01,psst
137,2026-04-01,digripy
1160,2026-04-01,matpower
611,2026-04-01,friendlysam
356,2026-04-01,villas-node
325,2026-04-01,deflex
135,2026-04-01,fluxopt
28871,2026-04-01,pypsa
114645,2026-04-01,pandapower
12467,2026-04-01,pypowsybl
883,2026-04-01,tz-osemosys
2476,2026-04-01,mosaik
1564,2026-04-01,h2integrate
1053,2026-04-01,fine
2926,2026-04-01,multi-vector-simulator
242,2026-04-01,ego
3000,2026-04-01,gridx-egret
109,2026-04-01,pownet
1845,2026-04-01,iesopt
387,2026-04-01,rheia-meca2675
1038,2026-04-01,amirispy
246,2026-04-01,opensduc
637,2026-04-01,energysim
609,2026-04-01,pycity-scheduling
277,2026-04-01,dieterpy
635,2026-04-01,emflow
1048,2026-04-01,pyehub
1168,2026-04-01,roseau-load-flow
116,2026-04-01,python-microgrid
3214,2026-04-01,opender
5072,2026-04-01,grid2op
681,2026-04-01,powergama
1150,2026-04-01,assume-framework
463,2026-04-01,dispatches
399,2026-04-01,mescal
2290,2026-04-01,gridpath
1474,2026-04-01,nrel-erad
1176,2026-04-01,calliope
1467,2026-04-01,grimsel
339,2026-04-01,onsset
459,2026-04-01,osier
5129,2026-04-01,opentepes
2924,2026-04-01,flixopt
4682,2026-04-01,andes
52,2026-04-01,dynawo
13615,2026-04-01,pypower
375029,2026-04-01,power-grid-model
946,2026-04-01,hybridbosse
420,2026-04-01,gridfm-graphkit
553,2026-04-01,energyscope
499,2026-04-01,sustaingym
2306,2026-04-01,pyetm
217,2026-04-01,pymfm
568,2026-04-01,omegalpes
3832,2026-04-01,hopp
699,2026-04-01,switch-model
972,2026-04-01,reho
210,2026-04-01,pymarket
329,2026-04-01,aristopy
1003,2026-04-01,tesp-support
2199,2026-04-01,chronix2grid
271,2026-04-01,heron-ravenframework
2005,2026-04-01,message-ix
369,2026-04-01,edisgo
1365,2026-04-01,nempy
1965,2026-04-01,pybalmorel
74,2026-04-01,pypownet
87,2026-04-01,macroenergy
628,2026-04-01,dpsim
6523,2026-04-01,zen-garden
2060,2026-04-01,esa
1043,2026-04-01,minpower
130,2026-04-01,pypower-dynamics
303,2026-04-01,microgrids
2737,2026-03-01,pybalmorel
219,2026-03-01,nrel-emerge
1390,2026-03-01,calliope
980,2026-03-01,matpower
390,2026-03-01,omegalpes
75740,2026-03-01,nrel-pysam
1810,2026-03-01,opentepes
2451,2026-03-01,gridpath
182,2026-03-01,emflow
1131,2026-03-01,pyetm
456,2026-03-01,fluxopt
89,2026-03-01,pymarket
344,2026-03-01,dispatches
3577,2026-03-01,flixopt
110,2026-03-01,digripy
132,2026-03-01,pymfm
3205,2026-03-01,opender
60,2026-03-01,pypownet
6231,2026-03-01,andes
1990,2026-03-01,esa
1265,2026-03-01,tesp-support
2093,2026-03-01,gridx-egret
1161,2026-03-01,energyscope
207,2026-03-01,pycity-scheduling
1846,2026-03-01,message-ix
201,2026-03-01,microgrids
280,2026-03-01,osier
549,2026-03-01,energysim
1108,2026-03-01,fine
140,2026-03-01,psst
601,2026-03-01,friendlysam
87,2026-03-01,pownet
359,2026-03-01,macroenergy
1337,2026-03-01,amirispy
1130,2026-03-01,iesopt
2073,2026-03-01,assume-framework
223,2026-03-01,opensduc
318,2026-03-01,sustaingym
1993,2026-03-01,muse-os
206,2026-03-01,ego
302,2026-03-01,pyehub
1348,2026-03-01,mosaik
355,2026-03-01,edisgo
394,2026-03-01,switch-model
852,2026-03-01,hybridbosse
1570,2026-03-01,grimsel
296,2026-03-01,villas-node
