id,html_url,aggregated_score,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,CI-Tests,Contributors,Dependency-Update-Tool
deflex,https://github.com/reegis/deflex,2.8,10,0.0,0,0,10.0,0,10,0,-1,0,0.0,0,-1,0.0,N/A,N/A,N/A,N/A
digripy,https://github.com/lvorspel/DiGriPy,1.9,10,0.0,0,0,-1.0,0,9,0,-1,-1,0.0,0,-1,-1.0,N/A,N/A,N/A,N/A
dispatches,https://github.com/gmlc-dispatches/dispatches,3.6,10,-1.0,0,8,10.0,0,9,0,-1,0,0.0,0,0,0.0,N/A,N/A,N/A,N/A
easy_simauto,https://github.com/mzy2240/ESA,1.7,6,0.0,0,2,-1.0,0,10,0,-1,-1,0.0,0,-1,-1.0,N/A,N/A,N/A,N/A
edisgo,https://github.com/openego/eDisGo,4.2,10,-1.0,0,0,10.0,0,10,10,-1,0,0.0,0,-1,0.0,N/A,N/A,N/A,N/A
ego,https://github.com/openego/eGo,4.2,10,0.0,0,7,-1.0,0,10,8,-1,-1,0.0,0,-1,-1.0,N/A,N/A,N/A,N/A
egret,https://github.com/grid-parity-exchange/Egret,4.0,10,-1.0,0,4,10.0,0,9,0,10,0,0.0,0,-1,0.0,N/A,N/A,N/A,N/A
energysim,https://github.com/dgusain1/energysim,0.8,0,0.0,0,0,-1.0,0,0,5,-1,-1,0.0,0,-1,-1.0,N/A,N/A,N/A,N/A
fame,https://gitlab.com/fame-framework/fame-core,5.0,10,N/A,0,2,N/A,0,10,10,-1,-1,N/A,0,0,N/A,10.0,N/A,N/A,N/A
fine,https://github.com/FZJ-IEK3-VSA/FINE,5.2,10,-1.0,0,9,10.0,0,9,10,-1,0,0.0,0,-1,0.0,N/A,N/A,N/A,N/A
gridfm,https://github.com/gridfm/gridfm-graphkit,6.1,10,5.0,2,10,10.0,0,10,10,10,0,10.0,0,-1,0.0,10.0,0.0,10.0,0.0
message_ix,https://github.com/iiasa/message_ix,4.1,10,1.0,0,2,0.0,0,10,10,-1,0,10.0,10,-1,0.0,N/A,N/A,N/A,N/A
multi_vector_simulator,https://github.com/rl-institut/multi-vector-simulator,3.3,10,-1.0,0,2,10.0,0,10,0,-1,0,0.0,0,-1,0.0,N/A,N/A,N/A,N/A
nempy,https://github.com/UNSW-CEEM/nempy,3.2,10,0.0,0,0,10.0,0,10,0,10,0,0.0,0,-1,0.0,N/A,N/A,N/A,N/A
oemof_thermal,https://github.com/oemof/oemof-thermal,3.3,10,0.0,0,1,10.0,0,10,0,-1,0,7.0,0,-1,0.0,N/A,N/A,N/A,N/A
pandapower,https://github.com/e2nIEE/pandapower,7.8,10,-1.0,0,10,10.0,0,9,10,10,5,9.0,0,-1,10.0,N/A,N/A,N/A,N/A
powsybl,https://github.com/powsybl/powsybl-core,9.9,10,-1.0,7,10,10.0,10,10,10,-1,10,10.0,10,-1,10.0,N/A,N/A,N/A,N/A
powsybl_open_load_flow,https://github.com/powsybl/powsybl-open-loadflow,6.7,10,-1.0,0,9,10.0,0,10,10,-1,0,9.0,10,-1,0.0,N/A,N/A,N/A,N/A
pypower,https://github.com/rwl/PYPOWER,4.8,10,0.0,0,2,10.0,0,9,3,10,2,0.0,0,-1,10.0,N/A,N/A,N/A,N/A
pypower_dynamics,https://github.com/susantoj/PYPOWER-Dynamics,2.0,10,0.0,0,0,-1.0,0,10,0,-1,-1,0.0,0,-1,-1.0,N/A,N/A,N/A,N/A
pypowsybl,https://github.com/powsybl/pypowsybl,6.6,10,-1.0,0,10,10.0,0,10,10,-1,6,10.0,10,0,0.0,N/A,N/A,N/A,N/A
pypsa,https://github.com/PyPSA/PyPSA,6.5,10,3.0,0,7,10.0,0,10,10,10,0,10.0,10,-1,0.0,N/A,N/A,N/A,N/A
python_ehub,https://gitlab.com/energyincities/python-ehub,5.6,10,N/A,0,0,N/A,0,10,10,-1,-1,N/A,0,-1,N/A,10.0,N/A,N/A,N/A
rheia,https://github.com/rheia-framework/RHEIA,2.0,10,0.0,0,0,-1.0,0,10,0,-1,-1,0.0,0,-1,-1.0,N/A,N/A,N/A,N/A
steps,https://github.com/changgang/steps,1.7,10,0.0,0,0,-1.0,0,10,0,-1,-1,0.0,0,0,-1.0,N/A,N/A,N/A,N/A
toop,https://github.com/eliagroup/ToOp,8.8,10,8.0,2,10,10.0,0,10,10,-1,10,10.0,9,-1,10.0,10.0,10.0,3.0,10.0
