,description
avtools-io,The Media Workflow Toolbox
amidev-org,Alexis Michaltsis Sofware Development
powsybl,Power System Blocks
GenieFramework,Highly productive web development with Julia
invenia,
pvlib,
AssessingSolar,
PV-Tutorials,Tutorial materials for open-source python packages for simulating and analyzing photovoltaic power systems
HTTPS-GitHub-n,allianc partner.
jupyter4edu,Jupyter for Education focuses on best practices and content for teaching with Jupyter notebooks.
OpenModelica,
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
geeckode,open source community
Computer-Engineering-UniPA,
opusonesolutions,
PIK-ICoNe,"Dynamics, stability and resilience of complex hybrid infrastructure networks"
CIRED,Repository for the models developed in CIRED
OneDAS-Group,
nexus-main,
nuaajc-lab107,
Redstone-Tech-Reupload-Group,红石科技搬运组字幕、工具、数据集等。
MaREI-EPMG,
JuliaAtmosOceanHydro,
JuliaClimate,
brightway-lca,Open source framework for Brightway framework
cigroup-ol,
lfenergyarchitecturemodel,
baumrock,
Nault,A secure web based wallet for Nano currency
ii,inclusively integrating the world
kubernetes,Production-Grade Container Scheduling and Management
knative,"Kubernetes-based platform to build, deploy, and manage modern serverless workloads"
kubernetes-sigs,Org for Kubernetes SIG-related work
Safe-Surfer,"Protect the mental health of our young people through technology, education, and advocacy"
knative-extensions,Extensions and plugins that extend the Knative project.
FlatTrackio,Collaborate with your flatmates (available on GitLab)
humacs,
sharingio,A shareable pairing environment
apisnoop,
thisisnottheorganisationyourelookingfor,you are not looking for it
Freelunch-AI,Making 2-person startup unicorns a reality.
egnitionHamburg,Formula Student Team of TUHH. Building electric racecars since 2011 and autonomous racecars since 2016.
cla-assistant,Contributor License Agreement assistant
bloque3,"Software Development Organization focused on building modern, efficient, and scalable technological solutions."
jazzband,We are all part of this
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
PowerGridModel,Steady-state distribution power system analysis
JuliaLang,The Julia Programming Language
numfocus,Non-profit organization promoting accessible and reproducible scientific and technical computing
modelica,Projects of the Modelica Association
PumasAI,Developing scientific leaders in drug development and clinical therapeutics
JuliaCon,The Julia Conference
JuliaGPU,GPU Computing in Julia
JuliaDiff,Differentiation Tools in Julia
JunoLab,Interesting Development Environment
QuantEcon,Open source code for quantitative economic modeling
UCIDataScienceInitiative,
JuliaComputing,
ReScience,Reproducible Science  is good. Replicated Science  is better.
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
JuliaString,Organization for Julia string handling packages
JuliaPlots,Data visualization in Julia
JuliaMath,Mathematics made easy in Julia
JuliaLabs,
JuliaInterop,Easy interoperability between Julia and other languages
SciML,Open source software for scientific machine learning
JuliaArrays,Custom array types (and utilities for building array types) for Julia
NieLab,"Mathematical, Computational, and Systems Biology"
osmosisfoundation,Open Source Modeling and Simulation Solutions
FluxML,The Elegant Machine Learning Stack
JuliaRegistries,
JuliaDynamics,"A Julia-based software organization for dynamical systems, nonlinear dynamics, complex systems and the complexities of the scientific life"
JuliaPDE,Methods for solving Partial Differential Equations in the Julia programming language
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
epirecipes,A cookbook of infectious disease transmission models
JuliaSymbolics,A fast and modern CAS for a fast and modern language
mitmath,educational materials for MIT math courses
MIT-AI-Accelerator,Official GitHub of the DAF-MIT AI Accelerator
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
JuliaSIMD,
MIT-Adaptive-Radio-Science,
ODINN-SciML,Global climate-glacier interactions modelling with Universal Differential Equations
SWQU,
Neuroblox,
JuliaChemicalReactions,An organization focused on development of chemical reactions tools
JuliaEpi,Computational epidemiology in @JuliaLang.
PumasAI-Labs,"One powerful platform, Infinite potential."
JuliaDispatch,Stay tuned! (hehe)
DyadLang,Modern Modeling and Simulation powered by AI
JuliaGraphs,Graph modeling and analysis packages for the Julia programming language
InPhyT,"Complex Systems Modelling Group: Computational Social Science, Epidemiology and Neuroscience."
BayesianDataAnalysisJulia,"@JuliaLang implementation of concepts, methods and examples from ""Bayesian Data Analysis"" by Gelman, Carlin, Stern, Dunson, Vehtari and Rubin."
NeuronalDynamicsJulia,"@JuliaLang implementation of models and exercises from the ""Neuronal Dynamics"" book and course by Gerstner, Kistler, Naud and Paninski."
JuliaEpi,Computational epidemiology in @JuliaLang.
SALib,Sensitivity analysis library for systems modeling
arras-energy,
ScavixSoftware,
satRdays,Accessible R conferences around the world 🤗📊👩‍🏫🙋‍♀️🙋‍♂️➰🌍
HomelabGeneration,Doing all kinds of homelab related stuff.
Riodigital-de,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
JuliaLang,The Julia Programming Language
JuliaStats,Statistics and Machine Learning made easy in Julia
JuliaDatabases,Various database drivers for Julia
PumasAI,Developing scientific leaders in drug development and clinical therapeutics
JuliaDiff,Differentiation Tools in Julia
JuliaSparse,Sparse matrix capabilties in the Julia Programming Language
JuliaWeb,Web technologies in the Julia Programming Language
JuliaCI,Continuous integration (CI) support for the Julia programming language
JuliaParallel,Parallel programming in Julia
JuliaGraphs,Graph modeling and analysis packages for the Julia programming language
JuliaIO,A collection of Julia packages for unified IO infrastructure
llvm,This is the LLVM organization on GitHub for the LLVM Project: a collection of modular and reusable compiler and toolchain technologies.
JuliaPackaging,Tooling for Julia's binary packages and dependencies
JuliaMath,Mathematics made easy in Julia
JuliaTime,Date and Time libraries for the Julia Language
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaInterop,Easy interoperability between Julia and other languages
JuliaCrypto,Cryptography made easy in Julia
SciML,Open source software for scientific machine learning
